2 200 0.01
10.01 0.036 -10.01 -0.036 
10.0199 0.072 -10.0199 -0.0719998 
10.0297 0.108 -10.0298 -0.107999 
10.0395 0.143999 -10.0395 -0.143998 
10.0492 0.179997 -10.0492 -0.179996 
10.0588 0.215994 -10.0588 -0.215992 
10.0683 0.25199 -10.0683 -0.251986 
10.0777 0.287983 -10.0777 -0.287979 
10.087 0.323975 -10.087 -0.32397 
10.0963 0.359964 -10.0963 -0.359958 
10.1054 0.395951 -10.1054 -0.395943 
10.1145 0.431935 -10.1145 -0.431925 
10.1235 0.467916 -10.1235 -0.467904 
10.1325 0.503893 -10.1325 -0.503879 
10.1413 0.539866 -10.1413 -0.539851 
10.1501 0.575836 -10.1501 -0.575818 
10.1588 0.611801 -10.1588 -0.611781 
10.1674 0.647761 -10.1674 -0.647739 
10.1759 0.683717 -10.1759 -0.683692 
10.1843 0.719667 -10.1844 -0.71964 
10.1927 0.755613 -10.1927 -0.755582 
10.201 0.791552 -10.201 -0.791519 
10.2092 0.827486 -10.2092 -0.827449 
10.2173 0.863413 -10.2174 -0.863374 
10.2254 0.899334 -10.2254 -0.899291 
10.2333 0.935249 -10.2334 -0.935202 
10.2412 0.971156 -10.2413 -0.971106 
10.249 1.00706 -10.2491 -1.007 
10.2568 1.04295 -10.2568 -1.04289 
10.2644 1.07883 -10.2645 -1.07877 
10.272 1.11471 -10.272 -1.11465 
10.2795 1.15058 -10.2795 -1.15051 
10.2869 1.18644 -10.287 -1.18637 
10.2943 1.22229 -10.2943 -1.22221 
10.3015 1.25814 -10.3016 -1.25805 
10.3087 1.29397 -10.3088 -1.29388 
10.3158 1.32979 -10.3159 -1.3297 
10.3229 1.36561 -10.3229 -1.36551 
10.3298 1.40141 -10.3299 -1.40131 
10.3367 1.43721 -10.3368 -1.4371 
10.3435 1.47299 -10.3436 -1.47288 
10.3502 1.50877 -10.3503 -1.50865 
10.3569 1.54453 -10.357 -1.54441 
10.3635 1.58028 -10.3635 -1.58015 
10.37 1.61602 -10.3701 -1.61589 
10.3764 1.65175 -10.3765 -1.65161 
10.3827 1.68747 -10.3828 -1.68732 
10.389 1.72318 -10.3891 -1.72302 
10.3952 1.75887 -10.3953 -1.75871 
10.4014 1.79455 -10.4015 -1.79439 
10.4074 1.83022 -10.4075 -1.83005 
10.4134 1.86588 -10.4135 -1.8657 
10.4193 1.90152 -10.4194 -1.90134 
10.4251 1.93715 -10.4253 -1.93696 
10.4309 1.97277 -10.431 -1.97257 
10.4366 2.00837 -10.4367 -2.00817 
10.4422 2.04396 -10.4424 -2.04375 
10.4478 2.07954 -10.4479 -2.07932 
10.4532 2.1151 -10.4534 -2.11487 
10.4586 2.15065 -10.4588 -2.15041 
10.4639 2.18618 -10.4641 -2.18594 
10.4692 2.2217 -10.4694 -2.22145 
10.4744 2.2572 -10.4746 -2.25694 
10.4795 2.29269 -10.4797 -2.29242 
10.4845 2.32816 -10.4847 -2.32789 
10.4895 2.36362 -10.4897 -2.36334 
10.4944 2.39906 -10.4946 -2.39877 
10.4992 2.43448 -10.4995 -2.43419 
10.504 2.46989 -10.5042 -2.46959 
10.5087 2.50529 -10.5089 -2.50497 
10.5133 2.54066 -10.5136 -2.54034 
10.5179 2.57602 -10.5181 -2.57569 
10.5223 2.61137 -10.5226 -2.61103 
10.5268 2.64669 -10.527 -2.64635 
10.5311 2.682 -10.5314 -2.68165 
10.5354 2.71729 -10.5357 -2.71693 
10.5396 2.75257 -10.5399 -2.7522 
10.5437 2.78783 -10.544 -2.78745 
10.5478 2.82307 -10.5481 -2.82268 
10.5518 2.85829 -10.5521 -2.85789 
10.5557 2.89349 -10.556 -2.89308 
10.5596 2.92868 -10.5599 -2.92826 
10.5634 2.96384 -10.5637 -2.96342 
