2 300 0.01
10.01 0.036 -10.01 -0.036 
10.0199 0.072 -10.0199 -0.0719998 
10.0298 0.108 -10.0298 -0.107999 
10.0395 0.143999 -10.0395 -0.143998 
10.0492 0.179997 -10.0492 -0.179996 
10.0588 0.215994 -10.0588 -0.215992 
10.0683 0.25199 -10.0683 -0.251986 
10.0777 0.287983 -10.0777 -0.287979 
10.087 0.323975 -10.087 -0.32397 
10.0963 0.359964 -10.0963 -0.359958 
10.1054 0.395951 -10.1054 -0.395943 
10.1145 0.431935 -10.1145 -0.431925 
10.1235 0.467916 -10.1236 -0.467904 
10.1325 0.503893 -10.1325 -0.50388 
10.1413 0.539866 -10.1413 -0.539851 
10.1501 0.575836 -10.1501 -0.575818 
10.1588 0.611801 -10.1588 -0.611781 
10.1674 0.647761 -10.1674 -0.647739 
10.1759 0.683717 -10.1759 -0.683692 
10.1844 0.719668 -10.1844 -0.71964 
10.1927 0.755613 -10.1927 -0.755583 
10.201 0.791553 -10.201 -0.791519 
10.2092 0.827486 -10.2092 -0.82745 
10.2174 0.863414 -10.2174 -0.863374 
10.2254 0.899335 -10.2254 -0.899292 
10.2334 0.935249 -10.2334 -0.935203 
10.2413 0.971157 -10.2413 -0.971107 
10.2491 1.00706 -10.2491 -1.007 
10.2568 1.04295 -10.2568 -1.04289 
10.2645 1.07884 -10.2645 -1.07877 
10.272 1.11471 -10.2721 -1.11465 
10.2795 1.15058 -10.2796 -1.15051 
10.287 1.18644 -10.287 -1.18637 
10.2943 1.22229 -10.2944 -1.22222 
10.3016 1.25814 -10.3016 -1.25805 
10.3088 1.29397 -10.3088 -1.29388 
10.3159 1.3298 -10.3159 -1.3297 
10.3229 1.36561 -10.323 -1.36551 
10.3299 1.40142 -10.3299 -1.40131 
10.3368 1.43721 -10.3368 -1.4371 
10.3436 1.473 -10.3436 -1.47288 
10.3503 1.50877 -10.3504 -1.50865 
10.357 1.54453 -10.357 -1.54441 
10.3635 1.58029 -10.3636 -1.58016 
10.37 1.61603 -10.3701 -1.61589 
10.3765 1.65176 -10.3766 -1.65162 
10.3828 1.68748 -10.3829 -1.68733 
10.3891 1.72318 -10.3892 -1.72303 
10.3953 1.75888 -10.3954 -1.75872 
10.4015 1.79456 -10.4016 -1.79439 
10.4075 1.83023 -10.4076 -1.83006 
10.4135 1.86588 -10.4136 -1.86571 
10.4194 1.90153 -10.4195 -1.90134 
10.4253 1.93716 -10.4254 -1.93697 
10.431 1.97278 -10.4312 -1.97258 
10.4367 2.00838 -10.4369 -2.00817 
10.4423 2.04397 -10.4425 -2.04376 
10.4479 2.07955 -10.448 -2.07933 
10.4534 2.11511 -10.4535 -2.11488 
10.4588 2.15065 -10.4589 -2.15042 
10.4641 2.18619 -10.4643 -2.18595 
10.4694 2.22171 -10.4695 -2.22146 
10.4745 2.25721 -10.4747 -2.25695 
10.4797 2.2927 -10.4799 -2.29243 
10.4847 2.32817 -10.4849 -2.3279 
10.4897 2.36363 -10.4899 -2.36335 
10.4946 2.39907 -10.4948 -2.39878 
10.4994 2.4345 -10.4996 -2.4342 
10.5042 2.46991 -10.5044 -2.4696 
10.5089 2.5053 -10.5091 -2.50499 
10.5135 2.54068 -10.5137 -2.54036 
10.5181 2.57604 -10.5183 -2.57571 
10.5226 2.61138 -10.5228 -2.61105 
10.527 2.64671 -10.5272 -2.64636 
10.5313 2.68202 -10.5316 -2.68167 
10.5356 2.71731 -10.5359 -2.71695 
10.5398 2.75259 -10.5401 -2.75222 
10.544 2.78785 -10.5442 -2.78747 
10.548 2.82309 -10.5483 -2.8227 
10.552 2.85831 -10.5523 -2.85791 
10.556 2.89351 -10.5563 -2.89311 
10.5599 2.9287 -10.5602 -2.92828 
10.5637 2.96387 -10.564 -2.96344 
