2 300 0.01
10.01 0.036 -10.01 -0.036 
10.0199 0.072 -10.0199 -0.0719998 
10.0298 0.108 -10.0298 -0.107999 
10.0395 0.143999 -10.0395 -0.143998 
10.0492 0.179997 -10.0492 -0.179996 
10.0588 0.215994 -10.0588 -0.215992 
10.0683 0.25199 -10.0683 -0.251987 
10.0777 0.287984 -10.0777 -0.287979 
10.087 0.323975 -10.087 -0.32397 
10.0963 0.359965 -10.0963 -0.359958 
10.1055 0.395952 -10.1055 -0.395944 
10.1146 0.431936 -10.1146 -0.431926 
10.1236 0.467916 -10.1236 -0.467905 
10.1325 0.503894 -10.1326 -0.503881 
10.1414 0.539868 -10.1414 -0.539852 
10.1502 0.575837 -10.1502 -0.57582 
10.1589 0.611803 -10.1589 -0.611783 
10.1675 0.647764 -10.1675 -0.647742 
10.176 0.68372 -10.1761 -0.683695 
10.1845 0.719671 -10.1845 -0.719644 
10.1929 0.755617 -10.1929 -0.755587 
10.2012 0.791557 -10.2012 -0.791524 
10.2094 0.827491 -10.2094 -0.827455 
10.2176 0.863419 -10.2176 -0.86338 
10.2256 0.899341 -10.2256 -0.899299 
10.2336 0.935256 -10.2336 -0.93521 
10.2415 0.971165 -10.2415 -0.971115 
10.2493 1.00707 -10.2494 -1.00701 
10.2571 1.04296 -10.2571 -1.0429 
10.2648 1.07885 -10.2648 -1.07879 
10.2724 1.11472 -10.2724 -1.11466 
10.2799 1.15059 -10.2799 -1.15053 
10.2873 1.18646 -10.2874 -1.18638 
10.2947 1.22231 -10.2948 -1.22223 
10.302 1.25815 -10.3021 -1.25807 
10.3092 1.29399 -10.3093 -1.2939 
10.3164 1.32982 -10.3164 -1.32972 
10.3234 1.36563 -10.3235 -1.36554 
10.3304 1.40144 -10.3305 -1.40134 
10.3373 1.43724 -10.3374 -1.43713 
10.3442 1.47302 -10.3442 -1.47291 
10.3509 1.5088 -10.351 -1.50868 
10.3576 1.54457 -10.3577 -1.54444 
10.3642 1.58032 -10.3643 -1.58019 
10.3708 1.61606 -10.3709 -1.61593 
10.3772 1.6518 -10.3773 -1.65166 
10.3836 1.68752 -10.3837 -1.68737 
10.3899 1.72323 -10.39 -1.72307 
10.3962 1.75892 -10.3963 -1.75876 
10.4023 1.79461 -10.4025 -1.79444 
10.4084 1.83028 -10.4086 -1.83011 
10.4145 1.86594 -10.4146 -1.86576 
10.4204 1.90159 -10.4205 -1.9014 
10.4263 1.93722 -10.4264 -1.93703 
10.4321 1.97284 -10.4322 -1.97264 
10.4378 2.00845 -10.438 -2.00825 
10.4435 2.04404 -10.4436 -2.04383 
10.4491 2.07962 -10.4492 -2.0794 
10.4546 2.11519 -10.4548 -2.11496 
10.46 2.15074 -10.4602 -2.15051 
10.4654 2.18628 -10.4656 -2.18604 
10.4707 2.2218 -10.4709 -2.22155 
10.476 2.25731 -10.4761 -2.25705 
10.4811 2.2928 -10.4813 -2.29254 
10.4862 2.32828 -10.4864 -2.32801 
10.4912 2.36374 -10.4914 -2.36346 
10.4962 2.39919 -10.4964 -2.3989 
10.5011 2.43462 -10.5013 -2.43433 
10.5059 2.47004 -10.5061 -2.46973 
10.5106 2.50543 -10.5108 -2.50513 
10.5153 2.54082 -10.5155 -2.5405 
10.5199 2.57618 -10.5201 -2.57586 
10.5244 2.61153 -10.5247 -2.6112 
10.5289 2.64687 -10.5292 -2.64653 
10.5333 2.68218 -10.5336 -2.68183 
10.5376 2.71748 -10.5379 -2.71712 
10.5419 2.75277 -10.5422 -2.7524 
10.5461 2.78803 -10.5464 -2.78765 
10.5502 2.82328 -10.5505 -2.82289 
10.5543 2.85851 -10.5546 -2.85811 
10.5583 2.89372 -10.5586 -2.89332 
10.5622 2.92891 -10.5625 -2.9285 
10.5661 2.96409 -10.5664 -2.96367 
