2 300 0.1
10.1 0.36 -10.1 -0.36 
10.1917 0.72 -10.1917 -0.719852 
10.2752 1.07971 -10.2754 -1.07927 
10.3507 1.43885 -10.3512 -1.438 
10.4184 1.79718 -10.4193 -1.7958 
10.4786 2.15446 -10.48 -2.15243 
10.5314 2.51047 -10.5334 -2.50769 
10.5771 2.86501 -10.5798 -2.86139 
10.6159 3.21791 -10.6194 -3.21336 
10.6479 3.56899 -10.6523 -3.56343 
10.6735 3.9181 -10.6789 -3.91147 
10.6928 4.26511 -10.6993 -4.25734 
10.7061 4.6099 -10.7138 -4.60094 
10.7135 4.95237 -10.7225 -4.94216 
10.7152 5.29241 -10.7257 -5.28091 
10.7115 5.62993 -10.7236 -5.61711 
10.7026 5.96488 -10.7163 -5.9507 
10.6887 6.29718 -10.7041 -6.28161 
10.6698 6.62678 -10.6871 -6.6098 
10.6464 6.95363 -10.6655 -6.93521 
10.6184 7.2777 -10.6395 -7.25783 
10.5861 7.59896 -10.6093 -7.57762 
10.5496 7.91737 -10.575 -7.89456 
10.5092 8.23292 -10.5368 -8.20863 
10.4649 8.5456 -10.4948 -8.51982 
10.4169 8.85541 -10.4492 -8.82813 
10.3654 9.16232 -10.4001 -9.13355 
10.3105 9.46636 -10.3478 -9.4361 
10.2523 9.76751 -10.2922 -9.73576 
10.191 10.0658 -10.2335 -10.0326 
10.1267 10.3612 -10.1718 -10.3265 
10.0594 10.6538 -10.1074 -10.6176 
9.98941 10.9435 -10.0402 -10.9059 
9.91672 11.2304 -9.97035 -11.1913 
9.84147 11.5145 -9.89802 -11.474 
9.76374 11.7959 -9.82327 -11.7539 
9.68365 12.0744 -9.7462 -12.031 
9.60129 12.3503 -9.6669 -12.3054 
9.51674 12.6234 -9.58545 -12.5772 
9.43009 12.8938 -9.50196 -12.8462 
9.34143 13.1616 -9.41648 -13.1126 
9.25083 13.4268 -9.32911 -13.3764 
9.15836 13.6893 -9.23991 -13.6376 
9.06412 13.9493 -9.14897 -13.8963 
8.96815 14.2067 -9.05634 -14.1523 
8.87053 14.4616 -8.96209 -14.4059 
8.77133 14.714 -8.86629 -14.657 
8.67061 14.9639 -8.76899 -14.9057 
8.56842 15.2114 -8.67026 -15.1519 
8.46482 15.4565 -8.57015 -15.3958 
8.35988 15.6992 -8.46872 -15.6372 
8.25363 15.9396 -8.36601 -15.8764 
8.14614 16.1776 -8.26208 -16.1132 
8.03745 16.4133 -8.15697 -16.3477 
7.9276 16.6468 -8.05074 -16.58 
7.81665 16.878 -7.94342 -16.8101 
7.70463 17.1071 -7.83506 -17.0379 
7.5916 17.3339 -7.72569 -17.2636 
7.47758 17.5586 -7.61536 -17.4871 
7.36261 17.7811 -7.50411 -17.7086 
7.24674 18.0015 -7.39197 -17.9279 
7.13 18.2199 -7.27897 -18.1452 
7.01242 18.4362 -7.16516 -18.3604 
6.89404 18.6505 -7.05056 -18.5736 
6.77489 18.8627 -6.9352 -18.7848 
6.65499 19.073 -6.81912 -18.9941 
6.53439 19.2814 -6.70234 -19.2014 
6.4131 19.4878 -6.58489 -19.4068 
6.29116 19.6923 -6.46679 -19.6103 
6.16858 19.8949 -6.34809 -19.8119 
6.04541 20.0957 -6.22879 -20.0117 
5.92165 20.2946 -6.10892 -20.2097 
5.79734 20.4917 -5.98851 -20.4058 
5.6725 20.687 -5.86758 -20.6002 
5.54715 20.8806 -5.74616 -20.7928 
5.42131 21.0724 -5.62425 -20.9837 
5.295 21.2625 -5.50188 -21.1728 
5.16824 21.4508 -5.37908 -21.3603 
5.04105 21.6375 -5.25585 -21.5461 
4.91346 21.8225 -5.13223 -21.7302 
4.78547 22.0059 -5.00822 -21.9127 
4.6571 22.1877 -4.88384 -22.0936 
4.52838 22.3678 -4.75912 -22.2729 
4.39931 22.5463 -4.63405 -22.4506 
4.26992 22.7233 -4.50867 -22.6267 
4.14021 22.8987 -4.38299 -22.8013 
4.01021 23.0726 -4.25701 -22.9743 
3.87992 23.245 -4.13076 -23.1459 
3.74937 23.4158 -4.00425 -23.3159 
3.61855 23.5852 -3.87748 -23.4845 
3.4875 23.7531 -3.75048 -23.6516 
3.35621 23.9196 -3.62326 -23.8173 
3.22471 24.0846 -3.49582 -23.9816 
3.09299 24.2482 -3.36818 -24.1444 
