2 300 0.01
10.01 0.036 -10.01 -0.036 
10.0198 0.072 -10.0198 -0.0719997 
10.0295 0.107999 -10.0295 -0.107999 
10.039 0.143998 -10.039 -0.143996 
10.0483 0.179994 -10.0483 -0.179991 
10.0575 0.215988 -10.0575 -0.215984 
10.0665 0.251979 -10.0665 -0.251973 
10.0753 0.287967 -10.0754 -0.287958 
10.084 0.32395 -10.084 -0.323939 
10.0925 0.359929 -10.0925 -0.359916 
10.1009 0.395902 -10.1009 -0.395886 
10.1091 0.43187 -10.1091 -0.431851 
10.1171 0.467831 -10.1171 -0.467808 
10.1249 0.503786 -10.125 -0.503759 
10.1326 0.539732 -10.1327 -0.539702 
10.1402 0.575671 -10.1402 -0.575636 
10.1475 0.611601 -10.1476 -0.611562 
10.1547 0.647522 -10.1548 -0.647478 
10.1618 0.683433 -10.1618 -0.683384 
10.1687 0.719334 -10.1687 -0.719279 
10.1754 0.755224 -10.1754 -0.755164 
10.182 0.791103 -10.182 -0.791037 
10.1884 0.82697 -10.1884 -0.826897 
10.1946 0.862825 -10.1947 -0.862745 
10.2007 0.898666 -10.2008 -0.89858 
10.2066 0.934495 -10.2067 -0.934402 
10.2124 0.970309 -10.2125 -0.970209 
10.218 1.00611 -10.2181 -1.006 
10.2235 1.04189 -10.2235 -1.04178 
10.2288 1.07766 -10.2289 -1.07754 
10.2339 1.11342 -10.234 -1.11328 
10.2389 1.14915 -10.239 -1.14901 
10.2437 1.18487 -10.2438 -1.18472 
10.2484 1.22057 -10.2485 -1.22042 
10.2529 1.25626 -10.253 -1.25609 
10.2573 1.29192 -10.2574 -1.29175 
10.2615 1.32757 -10.2616 -1.32738 
10.2655 1.3632 -10.2656 -1.363 
10.2694 1.39881 -10.2695 -1.3986 
10.2732 1.43439 -10.2733 -1.43417 
10.2767 1.46996 -10.2769 -1.46973 
10.2802 1.5055 -10.2803 -1.50526 
10.2835 1.54102 -10.2836 -1.54077 
10.2866 1.57652 -10.2867 -1.57626 
10.2896 1.612 -10.2897 -1.61173 
10.2924 1.64745 -10.2925 -1.64717 
10.295 1.68288 -10.2952 -1.68259 
10.2976 1.71829 -10.2978 -1.71798 
10.2999 1.75367 -10.3001 -1.75335 
10.3021 1.78903 -10.3023 -1.78869 
10.3042 1.82436 -10.3044 -1.82401 
10.3061 1.85966 -10.3063 -1.8593 
10.3079 1.89494 -10.3081 -1.89456 
10.3095 1.93019 -10.3097 -1.9298 
10.311 1.96541 -10.3112 -1.96501 
10.3123 2.00061 -10.3125 -2.00019 
