2 300 0.01
10.01 0.036 -10.01 -0.036 
10.0199 0.0720008 -10.0199 -0.0720007 
10.0297 0.108002 -10.0298 -0.108002 
10.0395 0.144004 -10.0395 -0.144003 
10.0492 0.180005 -10.0492 -0.180004 
10.0588 0.216007 -10.0588 -0.216004 
10.0683 0.252007 -10.0683 -0.252004 
10.0777 0.288007 -10.0777 -0.288002 
10.087 0.324005 -10.087 -0.324 
10.0963 0.360002 -10.0963 -0.359995 
10.1054 0.395997 -10.1054 -0.395989 
10.1145 0.43199 -10.1145 -0.43198 
10.1235 0.46798 -10.1235 -0.467969 
10.1325 0.503968 -10.1325 -0.503955 
10.1413 0.539953 -10.1413 -0.539938 
10.1501 0.575935 -10.1501 -0.575917 
10.1588 0.611913 -10.1588 -0.611893 
10.1674 0.647887 -10.1674 -0.647865 
10.1759 0.683858 -10.1759 -0.683833 
10.1843 0.719824 -10.1844 -0.719796 
10.1927 0.755785 -10.1927 -0.755755 
10.201 0.791742 -10.201 -0.791709 
10.2092 0.827694 -10.2092 -0.827657 
10.2173 0.86364 -10.2174 -0.8636 
10.2254 0.899581 -10.2254 -0.899537 
10.2333 0.935515 -10.2334 -0.935469 
10.2412 0.971444 -10.2413 -0.971393 
10.249 1.00737 -10.2491 -1.00731 
10.2568 1.04328 -10.2568 -1.04322 
10.2644 1.07919 -10.2645 -1.07913 
10.272 1.11509 -10.2721 -1.11503 
10.2795 1.15099 -10.2796 -1.15091 
10.2869 1.18687 -10.287 -1.1868 
10.2943 1.22275 -10.2943 -1.22267 
10.3015 1.25862 -10.3016 -1.25854 
10.3087 1.29448 -10.3088 -1.29439 
10.3158 1.33034 -10.3159 -1.33024 
10.3229 1.36618 -10.3229 -1.36608 
10.3298 1.40202 -10.3299 -1.40191 
10.3367 1.43784 -10.3368 -1.43773 
10.3435 1.47366 -10.3436 -1.47354 
10.3503 1.50946 -10.3503 -1.50934 
10.3569 1.54526 -10.357 -1.54514 
10.3635 1.58105 -10.3636 -1.58092 
10.37 1.61682 -10.3701 -1.61669 
10.3764 1.65259 -10.3765 -1.65245 
10.3828 1.68834 -10.3829 -1.68819 
10.3891 1.72409 -10.3892 -1.72393 
10.3953 1.75982 -10.3954 -1.75966 
10.4014 1.79554 -10.4015 -1.79537 
10.4075 1.83125 -10.4076 -1.83107 
10.4135 1.86694 -10.4136 -1.86676 
10.4194 1.90263 -10.4195 -1.90244 
10.4252 1.9383 -10.4253 -1.9381 
10.431 1.97396 -10.4311 -1.97376 
10.4367 2.0096 -10.4368 -2.0094 
10.4423 2.04524 -10.4424 -2.04502 
10.4478 2.08086 -10.448 -2.08064 
10.4533 2.11646 -10.4535 -2.11624 
10.4587 2.15206 -10.4589 -2.15182 
10.464 2.18764 -10.4642 -2.18739 
10.4693 2.2232 -10.4695 -2.22295 
10.4745 2.25875 -10.4747 -2.25849 
10.4796 2.29429 -10.4798 -2.29402 
10.4847 2.32981 -10.4849 -2.32954 
10.4896 2.36532 -10.4898 -2.36503 
10.4945 2.40081 -10.4948 -2.40052 
10.4994 2.43629 -10.4996 -2.43599 
10.5041 2.47175 -10.5044 -2.47144 
10.5088 2.50719 -10.5091 -2.50688 
10.5135 2.54262 -10.5137 -2.5423 
10.518 2.57804 -10.5183 -2.57771 
10.5225 2.61344 -10.5228 -2.6131 
10.5269 2.64882 -10.5272 -2.64847 
10.5313 2.68418 -10.5316 -2.68383 
10.5356 2.71953 -10.5358 -2.71917 
10.5398 2.75487 -10.5401 -2.75449 
10.5439 2.79018 -10.5442 -2.7898 
10.548 2.82548 -10.5483 -2.82509 
10.552 2.86076 -10.5523 -2.86036 
10.556 2.89602 -10.5563 -2.89561 
10.5598 2.93127 -10.5602 -2.93085 
10.5636 2.9665 -10.564 -2.96607 
10.5674 3.00171 -10.5677 -3.00127 
10.5711 3.0369 -10.5714 -3.03645 
10.5747 3.07208 -10.575 -3.07162 
10.5782 3.10723 -10.5786 -3.10676 
10.5817 3.14237 -10.5821 -3.14189 
10.5851 3.17749 -10.5855 -3.177 
10.5884 3.21259 -10.5888 -3.21209 
10.5917 3.24767 -10.5921 -3.24716 
10.5949 3.28273 -10.5954 -3.28221 
10.5981 3.31777 -10.5985 -3.31724 
10.6012 3.35279 -10.6016 -3.35226 
10.6042 3.3878 -10.6046 -3.38725 
10.6072 3.42278 -10.6076 -3.42222 
10.6101 3.45774 -10.6105 -3.45718 
10.6129 3.49269 -10.6134 -3.49211 
10.6157 3.52761 -10.6161 -3.52702 
10.6184 3.56252 -10.6188 -3.56191 
10.621 3.5974 -10.6215 -3.59679 
10.6236 3.63226 -10.6241 -3.63164 
