2 100 0.001
10.001 0.00360021 -10.001 -0.00359979 
10.002 0.00720063 -10.002 -0.00719896 
10.003 0.0108008 -10.003 -0.0107971 
10.004 0.0144004 -10.004 -0.0143937 
10.005 0.017999 -10.005 -0.0179885 
10.006 0.021596 -10.006 -0.021581 
10.007 0.0251912 -10.007 -0.0251708 
10.008 0.0287842 -10.008 -0.0287575 
10.009 0.0323744 -10.009 -0.0323406 
10.01 0.0359615 -10.01 -0.0359197 
10.011 0.039545 -10.011 -0.0394945 
10.012 0.0431246 -10.012 -0.0430645 
10.013 0.0466998 -10.013 -0.0466293 
10.014 0.0502702 -10.014 -0.0501885 
10.015 0.0538354 -10.015 -0.0537416 
10.016 0.057395 -10.016 -0.0572882 
10.017 0.0609485 -10.017 -0.060828 
10.018 0.0644956 -10.018 -0.0643605 
10.019 0.0680359 -10.019 -0.0678853 
10.02 0.0715688 -10.02 -0.071402 
10.021 0.0750941 -10.021 -0.0749102 
10.022 0.0786112 -10.022 -0.0784094 
10.023 0.0821198 -10.023 -0.0818992 
10.024 0.0856194 -10.024 -0.0853793 
10.025 0.0891097 -10.025 -0.0888491 
10.026 0.0925902 -10.026 -0.0923084 
10.027 0.0960606 -10.027 -0.0957566 
10.028 0.0995203 -10.028 -0.0991934 
10.029 0.102969 -10.029 -0.102618 
10.03 0.106406 -10.03 -0.106031 
10.031 0.109832 -10.031 -0.109431 
10.032 0.113245 -10.032 -0.112818 
10.033 0.116645 -10.033 -0.116191 
10.034 0.120033 -10.034 -0.119551 
10.035 0.123406 -10.035 -0.122896 
10.036 0.126766 -10.036 -0.126226 
10.037 0.130112 -10.037 -0.129541 
10.038 0.133443 -10.038 -0.132841 
10.039 0.136759 -10.039 -0.136125 
10.04 0.140059 -10.04 -0.139392 
10.041 0.143343 -10.041 -0.142642 
10.042 0.146611 -10.042 -0.145875 
10.043 0.149861 -10.043 -0.149091 
10.044 0.153095 -10.044 -0.152288 
10.045 0.156311 -10.045 -0.155467 
10.046 0.159509 -10.046 -0.158627 
10.047 0.162689 -10.047 -0.161768 
10.048 0.165849 -10.048 -0.164889 
10.049 0.16899 -10.049 -0.16799 
10.05 0.172112 -10.05 -0.17107 
10.051 0.175213 -10.051 -0.174129 
10.052 0.178294 -10.052 -0.177167 
10.053 0.181354 -10.0529 -0.180184 
10.0539 0.184393 -10.0539 -0.183178 
10.0549 0.18741 -10.0549 -0.186149 
10.0559 0.190404 -10.0559 -0.189098 
10.0569 0.193377 -10.0569 -0.192023 
10.0579 0.196326 -10.0579 -0.194924 
10.0589 0.199251 -10.0589 -0.197801 
10.0599 0.202153 -10.0599 -0.200653 
10.0609 0.20503 -10.0609 -0.20348 
10.0619 0.207883 -10.0619 -0.206282 
10.0629 0.210711 -10.0629 -0.209057 
10.0639 0.213513 -10.0639 -0.211807 
10.0649 0.21629 -10.0649 -0.214529 
10.0659 0.21904 -10.0659 -0.217225 
10.0669 0.221763 -10.0669 -0.219893 
10.0679 0.22446 -10.0679 -0.222533 
10.0689 0.227128 -10.0689 -0.225145 
10.0699 0.229769 -10.0698 -0.227728 
10.0708 0.232382 -10.0708 -0.230281 
10.0718 0.234965 -10.0718 -0.232805 
10.0728 0.23752 -10.0728 -0.235299 
10.0738 0.240044 -10.0738 -0.237763 
10.0748 0.242539 -10.0748 -0.240196 
10.0758 0.245004 -10.0758 -0.242598 
10.0768 0.247437 -10.0768 -0.244967 
10.0778 0.24984 -10.0778 -0.247305 
10.0788 0.25221 -10.0788 -0.249611 
10.0798 0.254549 -10.0797 -0.251883 
10.0807 0.256855 -10.0807 -0.254122 
10.0817 0.259129 -10.0817 -0.256328 
10.0827 0.261369 -10.0827 -0.258499 
10.0837 0.263575 -10.0837 -0.260636 
10.0847 0.265747 -10.0847 -0.262738 
10.0857 0.267885 -10.0857 -0.264804 
10.0867 0.269988 -10.0866 -0.266835 
10.0876 0.272055 -10.0876 -0.26883 
10.0886 0.274087 -10.0886 -0.270788 
10.0896 0.276082 -10.0896 -0.272709 
10.0906 0.278041 -10.0906 -0.274592 
10.0916 0.279963 -10.0916 -0.276438 
10.0926 0.281848 -10.0925 -0.278246 
10.0935 0.283694 -10.0935 -0.280015 
10.0945 0.285503 -10.0945 -0.281744 
10.0955 0.287273 -10.0955 -0.283435 
10.0965 0.289004 -10.0965 -0.285086 
10.0975 0.290695 -10.0974 -0.286696 
10.0984 0.292347 -10.0984 -0.288266 
10.0994 0.293959 -10.0994 -0.289794 
10.1004 0.295529 -10.1004 -0.291282 
10.1014 0.297059 -10.1013 -0.292727 
10.1023 0.298547 -10.1023 -0.29413 
10.1033 0.299994 -10.1033 -0.29549 
10.1043 0.301398 -10.1043 -0.296807 
10.1053 0.302759 -10.1052 -0.298081 
10.1062 0.304077 -10.1062 -0.29931 
10.1072 0.305352 -10.1072 -0.300496 
10.1082 0.306583 -10.1082 -0.301636 
10.1091 0.307769 -10.1091 -0.302732 
10.1101 0.308911 -10.1101 -0.303782 
10.1111 0.310008 -10.1111 -0.304785 
10.112 0.311059 -10.112 -0.305743 
10.113 0.312064 -10.113 -0.306654 
10.114 0.313023 -10.114 -0.307517 
10.1149 0.313935 -10.1149 -0.308333 
10.1159 0.3148 -10.1159 -0.309101 
10.1169 0.315617 -10.1168 -0.30982 
10.1178 0.316386 -10.1178 -0.310491 
10.1188 0.317107 -10.1188 -0.311112 
10.1198 0.317779 -10.1197 -0.311684 
10.1207 0.318402 -10.1207 -0.312206 
10.1217 0.318975 -10.1216 -0.312677 
10.1226 0.319498 -10.1226 -0.313098 
10.1236 0.319971 -10.1236 -0.313467 
10.1245 0.320392 -10.1245 -0.313784 
10.1255 0.320763 -10.1255 -0.31405 
10.1264 0.321082 -10.1264 -0.314263 
10.1274 0.321349 -10.1274 -0.314423 
10.1284 0.321563 -10.1283 -0.31453 
10.1293 0.321725 -10.1293 -0.314583 
10.1303 0.321833 -10.1302 -0.314582 
10.1312 0.321888 -10.1312 -0.314526 
10.1321 0.321888 -10.1321 -0.314416 
10.1331 0.321834 -10.1331 -0.31425 
10.134 0.321725 -10.134 -0.314028 
10.135 0.321561 -10.135 -0.313751 
10.1359 0.321341 -10.1359 -0.313416 
10.1369 0.321065 -10.1368 -0.313025 
10.1378 0.320733 -10.1378 -0.312577 
10.1388 0.320343 -10.1387 -0.31207 
10.1397 0.319896 -10.1397 -0.311506 
10.1406 0.319392 -10.1406 -0.310883 
10.1416 0.318829 -10.1415 -0.310201 
10.1425 0.318208 -10.1425 -0.30946 
10.1434 0.317528 -10.1434 -0.308658 
10.1444 0.316788 -10.1443 -0.307797 
10.1453 0.315989 -10.1453 -0.306875 
10.1462 0.315129 -10.1462 -0.305892 
10.1472 0.314209 -10.1471 -0.304848 
10.1481 0.313228 -10.148 -0.303742 
10.149 0.312186 -10.149 -0.302574 
10.1499 0.311081 -10.1499 -0.301343 
10.1509 0.309915 -10.1508 -0.300049 
10.1518 0.308686 -10.1517 -0.298691 
10.1527 0.307394 -10.1527 -0.29727 
10.1536 0.306039 -10.1536 -0.295785 
10.1545 0.304619 -10.1545 -0.294234 
10.1554 0.303136 -10.1554 -0.292619 
10.1564 0.301588 -10.1563 -0.290939 
10.1573 0.299975 -10.1572 -0.289192 
10.1582 0.298296 -10.1581 -0.28738 
10.1591 0.296552 -10.1591 -0.2855 
10.16 0.294741 -10.16 -0.283554 
10.1609 0.292864 -10.1609 -0.28154 
10.1618 0.29092 -10.1618 -0.279458 
10.1627 0.288908 -10.1627 -0.277308 
10.1636 0.286829 -10.1636 -0.27509 
10.1645 0.284681 -10.1645 -0.272802 
10.1654 0.282465 -10.1654 -0.270445 
10.1663 0.280179 -10.1663 -0.268018 
10.1672 0.277824 -10.1672 -0.26552 
10.1681 0.275399 -10.1681 -0.262952 
10.169 0.272904 -10.169 -0.260313 
10.1699 0.270338 -10.1699 -0.257602 
10.1708 0.267702 -10.1708 -0.25482 
10.1717 0.264993 -10.1716 -0.251965 
10.1726 0.262213 -10.1725 -0.249037 
10.1735 0.259361 -10.1734 -0.246037 
10.1744 0.256436 -10.1743 -0.242962 
10.1752 0.253437 -10.1752 -0.239814 
10.1761 0.250366 -10.1761 -0.236592 
10.177 0.24722 -10.1769 -0.233295 
10.1779 0.244 -10.1778 -0.229922 
10.1788 0.240706 -10.1787 -0.226475 
10.1796 0.237336 -10.1796 -0.222951 
10.1805 0.233891 -10.1804 -0.219351 
10.1814 0.23037 -10.1813 -0.215674 
10.1822 0.226772 -10.1822 -0.21192 
10.1831 0.223098 -10.183 -0.208089 
10.184 0.219347 -10.1839 -0.204179 
10.1848 0.215518 -10.1848 -0.200192 
10.1857 0.211612 -10.1856 -0.196125 
10.1866 0.207627 -10.1865 -0.19198 
10.1874 0.203563 -10.1874 -0.187755 
10.1883 0.19942 -10.1882 -0.18345 
10.1891 0.195198 -10.1891 -0.179064 
10.19 0.190896 -10.1899 -0.174598 
10.1908 0.186513 -10.1908 -0.170051 
10.1917 0.18205 -10.1916 -0.165422 
10.1925 0.177506 -10.1925 -0.160711 
10.1934 0.17288 -10.1933 -0.155918 
10.1942 0.168172 -10.1942 -0.151042 
10.1951 0.163382 -10.195 -0.146083 
10.1959 0.158509 -10.1958 -0.14104 
10.1968 0.153553 -10.1967 -0.135914 
10.1976 0.148513 -10.1975 -0.130703 
10.1984 0.14339 -10.1983 -0.125407 
10.1993 0.138182 -10.1992 -0.120026 
10.2001 0.132889 -10.2 -0.11456 
10.2009 0.127512 -10.2008 -0.109007 
10.2018 0.122048 -10.2017 -0.103368 
10.2026 0.116499 -10.2025 -0.0976429 
10.2034 0.110864 -10.2033 -0.0918302 
10.2042 0.105141 -10.2041 -0.08593 
10.2051 0.099332 -10.205 -0.0799417 
10.2059 0.093435 -10.2058 -0.0738651 
10.2067 0.0874501 -10.2066 -0.0676998 
10.2075 0.0813769 -10.2074 -0.0614453 
10.2083 0.0752149 -10.2082 -0.0551012 
10.2091 0.0689638 -10.209 -0.0486671 
10.2099 0.0626232 -10.2098 -0.0421427 
10.2107 0.0561926 -10.2106 -0.0355275 
10.2115 0.0496716 -10.2115 -0.0288211 
10.2124 0.0430599 -10.2123 -0.0220231 
10.2132 0.0363571 -10.2131 -0.0151332 
10.214 0.0295627 -10.2139 -0.00815095 
10.2148 0.0226764 -10.2147 -0.0010759 
10.2155 0.0156977 -10.2154 0.00609231 
10.2163 0.00862633 -10.2162 0.0133541 
10.2171 0.00146218 -10.217 0.0207095 
10.2179 -0.00579431 -10.2178 0.028158 
10.2187 -0.0131427 -10.2186 0.0356993 
10.2195 -0.0205827 -10.2194 0.0433329 
10.2203 -0.0281138 -10.2202 0.0510586 
10.2211 -0.0357357 -10.221 0.0588758 
10.2218 -0.0434479 -10.2217 0.0667841 
10.2226 -0.0512501 -10.2225 0.0747833 
10.2234 -0.0591418 -10.2233 0.0828728 
10.2242 -0.0671227 -10.2241 0.0910523 
10.225 -0.0751923 -10.2248 0.0993214 
10.2257 -0.0833502 -10.2256 0.10768 
10.2265 -0.0915961 -10.2264 0.116127 
10.2273 -0.0999296 -10.2271 0.124662 
10.228 -0.10835 -10.2279 0.133285 
10.2288 -0.116858 -10.2287 0.141996 
10.2296 -0.125451 -10.2294 0.150795 
10.2303 -0.134131 -10.2302 0.159679 
10.2311 -0.142896 -10.2309 0.168651 
10.2318 -0.151747 -10.2317 0.177708 
10.2326 -0.160682 -10.2325 0.186851 
10.2333 -0.169701 -10.2332 0.196079 
10.2341 -0.178805 -10.234 0.205392 
10.2348 -0.187992 -10.2347 0.214789 
10.2356 -0.197262 -10.2354 0.22427 
10.2363 -0.206615 -10.2362 0.233835 
10.2371 -0.21605 -10.2369 0.243483 
10.2378 -0.225568 -10.2377 0.253214 
10.2385 -0.235167 -10.2384 0.263027 
10.2393 -0.244847 -10.2391 0.272923 
10.24 -0.254608 -10.2399 0.2829 
10.2407 -0.264449 -10.2406 0.292958 
10.2415 -0.27437 -10.2413 0.303097 
10.2422 -0.284371 -10.2421 0.313316 
10.2429 -0.294451 -10.2428 0.323615 
10.2436 -0.30461 -10.2435 0.333994 
10.2444 -0.314847 -10.2442 0.344453 
10.2451 -0.325163 -10.2449 0.35499 
10.2458 -0.335556 -10.2457 0.365605 
10.2465 -0.346026 -10.2464 0.376299 
10.2472 -0.356572 -10.2471 0.38707 
10.2479 -0.367196 -10.2478 0.397918 
10.2486 -0.377895 -10.2485 0.408843 
10.2494 -0.38867 -10.2492 0.419845 
10.2501 -0.39952 -10.2499 0.430923 
10.2508 -0.410445 -10.2506 0.442076 
10.2515 -0.421445 -10.2513 0.453305 
10.2522 -0.432518 -10.252 0.464608 
10.2528 -0.443665 -10.2527 0.475986 
10.2535 -0.454886 -10.2534 0.487438 
10.2542 -0.466179 -10.2541 0.498964 
10.2549 -0.477545 -10.2548 0.510563 
10.2556 -0.488982 -10.2554 0.522235 
10.2563 -0.500492 -10.2561 0.53398 
10.257 -0.512072 -10.2568 0.545796 
10.2576 -0.523724 -10.2575 0.557684 
10.2583 -0.535446 -10.2582 0.569644 
10.259 -0.547238 -10.2588 0.581674 
10.2597 -0.5591 -10.2595 0.593775 
10.2603 -0.571031 -10.2602 0.605946 
10.261 -0.583031 -10.2608 0.618187 
10.2617 -0.5951 -10.2615 0.630497 
10.2623 -0.607236 -10.2621 0.642877 
10.263 -0.619441 -10.2628 0.655324 
10.2636 -0.631712 -10.2635 0.66784 
10.2643 -0.644051 -10.2641 0.680424 
10.2649 -0.656456 -10.2648 0.693075 
10.2656 -0.668927 -10.2654 0.705792 
10.2662 -0.681465 -10.266 0.718577 
10.2669 -0.694067 -10.2667 0.731428 
10.2675 -0.706734 -10.2673 0.744344 
10.2681 -0.719466 -10.268 0.757326 
10.2688 -0.732262 -10.2686 0.770373 
10.2694 -0.745122 -10.2692 0.783484 
10.27 -0.758046 -10.2698 0.79666 
10.2707 -0.771032 -10.2705 0.8099 
10.2713 -0.784081 -10.2711 0.823203 
10.2719 -0.797192 -10.2717 0.836569 
10.2725 -0.810365 -10.2723 0.849998 
10.2731 -0.8236 -10.2729 0.863489 
10.2737 -0.836895 -10.2735 0.877041 
10.2743 -0.850251 -10.2741 0.890656 
10.2749 -0.863668 -10.2747 0.904331 
10.2755 -0.877144 -10.2753 0.918067 
10.2761 -0.89068 -10.2759 0.931864 
10.2767 -0.904274 -10.2765 0.94572 
10.2773 -0.917928 -10.2771 0.959636 
10.2779 -0.93164 -10.2777 0.973611 
10.2785 -0.94541 -10.2783 0.987645 
10.2791 -0.959237 -10.2789 1.00174 
10.2796 -0.973121 -10.2794 1.01589 
10.2802 -0.987063 -10.28 1.0301 
10.2808 -1.00106 -10.2806 1.04436 
10.2814 -1.01511 -10.2811 1.05868 
10.2819 -1.02922 -10.2817 1.07306 
10.2825 -1.04339 -10.2823 1.08749 
10.283 -1.05761 -10.2828 1.10198 
10.2836 -1.07188 -10.2834 1.11653 
10.2841 -1.08621 -10.2839 1.13113 
10.2847 -1.10059 -10.2844 1.14578 
10.2852 -1.11502 -10.285 1.16049 
10.2858 -1.12951 -10.2855 1.17525 
10.2863 -1.14405 -10.286 1.19007 
10.2868 -1.15864 -10.2866 1.20494 
10.2873 -1.17329 -10.2871 1.21986 
10.2879 -1.18798 -10.2876 1.23483 
10.2884 -1.20273 -10.2881 1.24986 
10.2889 -1.21752 -10.2886 1.26493 
10.2894 -1.23237 -10.2891 1.28006 
10.2899 -1.24727 -10.2896 1.29524 
10.2904 -1.26221 -10.2901 1.31047 
10.2909 -1.27721 -10.2906 1.32574 
10.2914 -1.29225 -10.2911 1.34107 
10.2919 -1.30734 -10.2916 1.35645 
10.2923 -1.32248 -10.2921 1.37187 
10.2928 -1.33767 -10.2926 1.38735 
10.2933 -1.3529 -10.293 1.40287 
10.2938 -1.36818 -10.2935 1.41844 
10.2942 -1.38351 -10.294 1.43405 
10.2947 -1.39888 -10.2944 1.44972 
10.2951 -1.4143 -10.2949 1.46543 
10.2956 -1.42977 -10.2953 1.48118 
10.296 -1.44527 -10.2958 1.49698 
10.2965 -1.46083 -10.2962 1.51283 
